title,author,source,description,content,pub_date,url,urlToImage
"A deadly earthquake took place 30 years ago today in the San Francisco Bay Area — here's what it was like to live through it, according to someone who was there",Laura McCamy,Insider.com,"The Loma Prieta earthquake took place on California's central coast on October 17, 1989 — 30 years ago today. The violent quake killed 63 people in the Bay Area and injured almost 3,800 more. It caused the Cypress Freeway to collapse, along with numerous buil…","When the tremors started, I crawled under my desk.
It was 5:04 p.m. on October 17, 1989 — exactly 30 years ago today. I was on the fifth floor of the Adam Grant Building on Sansome Street in San Francisco's Financial District, in the law office where I worke… [+5679 chars]",2019-10-17,https://www.insider.com/san-franciscoo-earthquake-bay-area-loma-prieta-1989-2019-10,https://image.businessinsider.com/5da88f46e94e8608b7737cba?width=1200&format=jpeg
3.5-magnitude earthquake jolts San Francisco awake Saturday morning,"Chris Woodyard, USA TODAY",Yahoo.com,The damage from the earthquake in San Francisco resulted in no reports of damage or injuries — but people's pets took notice,"San Francisco residents got a jolt Saturday  and it wasn't just from their morning coffee. A 3.5-magnitude earthquake shook the Bay Area, jangling nerves but not resulting in reports of damage or injuries.
The quake struck at 8:41 a.m. PST, centered 3.7 mile… [+1018 chars]",2019-10-05,https://news.yahoo.com/3-5-magnitude-earthquake-jolts-172957318.html,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png
How to Survive Every Type of Financial Setback,Nicole Dieker,Lifehacker.com,"Even when you think you’re doing everything right financially, things can still go wrong. Job loss, divorce, and illness can all wreak havoc on your finances, as can car accidents, natural disasters, and—well, you get the idea. Read more...","Even when you think youre doing everything right financially, things can still go wrong. Job loss, divorce, and illness can all wreak havoc on your finances, as can car accidents, natural disasters, andwell, you get the idea.
What do you do if an unexpected … [+3247 chars]",2019-09-30,https://lifehacker.com/how-to-survive-every-type-of-financial-setback-1838625506,"https://i.kinja-img.com/gawker-media/image/upload/s--oETBwNda--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/i17dfvfxfgiknz7ilpog.jpg"
"Thirty years after devastating quake, is San Francisco ready for the next?",Susie Cagle in San Francisco,Yahoo.com,"The 6.9-magnitude Loma Prieta quake killed 63 in 1989. Decades later, the Bay Area is still plagued by structural threats and flammable fuelsIn a 17 October 1989 photo, a California highway patrol officer checks the damage to cars that fell when the upper dec…","Photograph: George Nikitin/AP
On the afternoon of 17 October 1989, a 6.9-magnitude earthquake rocked the San Francisco Bay Area, killing 63 people and causing $13bn in damages as it toppled a chunk of the Bay Bridge, colapsed a section of freeway in Oakland,… [+4877 chars]",2019-10-17,https://news.yahoo.com/thirty-years-devastating-quake-san-050031159.html,https://s.yimg.com/ny/api/res/1.2/6G8Rovkx4Fcg36xpieK89Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEwMDA7aD02MDA-/https://s.yimg.com/uu/api/res/1.2/T7qmarFahNtE9tEIC5BPvg--~B/aD0zMDA7dz01MDA7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en-GB/the_guardian_765/6c029e203b19922ef870befc0eae9dbe
Japan's bullet train tracks were flooded in Typhoon Hagibis,Sasha Lekach,Mashable,"Japan's nationwide high-speed train system, known as the Shinkansen, felt the brunt of the deadly cyclone Typhoon Hagibis after flooding, relentless rain, and mudslides. The railways run by the Japan Railway Company were battered by torrential downpours, as t…","Japan's nationwide high-speed train system, known as the Shinkansen, felt the brunt of the deadly cyclone Typhoon Hagibis after flooding, relentless rain, and mudslides.
The railways run by the Japan Railway Company were battered by torrential downpours, as … [+1561 chars]",2019-10-15,https://mashable.com/article/typhoon-hagibis-japan-bullet-trains-shinkansen/,https://mondrian.mashable.com/2019%252F10%252F15%252F03%252F5cec946017ef428fa3ca67daa292e2da.20302.jpg%252F1200x630.jpg?signature=afUyuzWDTP9qpIxRUQL0859_glY=
"A Major California Fault Line is Shifting, Triggered by the Ridgewood Earthquakes - The Weather Channel",Jan Wesner Childs,Weather.com,"A Major California Fault Line is Shifting, Triggered by the Ridgewood Earthquakes The Weather Channel Major fault 'awaken' by series of Ridgecrest earthquakes ABC 10 News Major Southern California fault line eyed after study shows unprecedented movement Fox N…","At a Glance
<ul><li>The fault has slipped nearly an inch at its surface.</li><li>The movement was discovered during a study of the July Ridgecrest earthquakes.</li><li>Researchers don't know what the shifting means. </li></ul>
A major California fault line … [+3451 chars]",2019-10-18,https://weather.com/news/news/2019-10-18-major-california-fault-line-moving-earthquake,https://s.w-x.co/GettyImages-1160133666.jpg
Mindanao quake death toll rises to 6 - CNN Philippines,,Cnnphilippines.com,"Mindanao quake death toll rises to 6 CNN Philippines Aftershocks continue in Mindanao, 3 days after magnitude-6.3 quake ABS-CBN News Quake damages 4000 structures INQUIRER.net NDRRMC: At least 6 dead, 93 injured in Mindanao earthquake Rappler Cotabato quake d…","Metro Manila (CNN Philippines, October 19) The death toll has risen to 6 people, with 167 others reported injured after Wednesday nights magnitude 6.3 earthquake that rocked Tulunan, North Cotabato, and nearby towns and provinces.
In its latest report, the N… [+2448 chars]",2019-10-19,http://www.cnnphilippines.com/news/2019/10/19/Mindanao-quake-death-toll-rises-to-6.html,http://cnnphilippines.com/.imaging/mte/demo-cnn-new/750x450/dam/cnn/2019/10/18/Magsaysay-Landslide_3_CNNPH.jpg/jcr:content/Magsaysay-Landslide_3_CNNPH.jpg
India’s president condoles with victims of Mindanao quake - GMA News,,Gmanetwork.com,"India’s president condoles with victims of Mindanao quake GMA News Aftershocks continue in Mindanao, 3 days after magnitude-6.3 quake ABS-CBN News NDRRMC: At least 6 dead, 93 injured in Mindanao earthquake Rappler Quake damages 4000 structures INQUIRER.net An…",,2019-10-18,https://www.gmanetwork.com/news/news/nation/712214/india-s-president-condoles-with-victims-of-mindanao-quake/story/,https://images.gmanews.tv/webpics/2019/10/ZZZ_101719_news_b_2019_10_17_17_26_34.jpg
Everything coming to Netflix in November 2019,Alison Foreman,Mashable,"November marks a lot of movement for Netflix. We're losing favorites like The Lord of the Rings, Blue Bloods, Mamma Mia!, Coco, Scream, and The Sixth Sense — but gaining a whole lot more. Here's what's coming. On the TV side, Netflix is bringing back new seas…","November marks a lot of movement for Netflix.
We're losing favorites like The Lord of the Rings, Blue Bloods, Mamma Mia!, Coco, Scream, and The Sixth Sense but gaining a whole lot more. Here's what's coming. 
On the TV side, Netflix is bringing back new sea… [+5380 chars]",2019-10-24,https://mashable.com/article/netflix-november-2019/,https://mondrian.mashable.com/2019%252F10%252F24%252F52%252F7c26904fe61f44d78cc6bf81016c3046.c5d06.jpg%252F1200x630.jpg?signature=I0EckU_oWp2UCvrfERwRF4G5KiM=
The Latest: Authorities seek cause for California fuel fire,Associated Press,Yahoo.com,Officials are trying to determine if a 4.5 magnitude earthquake triggered an explosion at a fuel storage facility in the San Francisco Bay Area that started a fire and trapped thousands in their homes for hours because of potentially unhealthy air. The earthq…,"CROCKETT, Calif. (AP) The Latest on a fire at a Northern California fuel storage facility (all times local):
7:50 a.m.
Officials are trying to determine if a 4.5 magnitude earthquake triggered an explosion at a fuel storage facility in the San Francisco Bay… [+1684 chars]",2019-10-16,https://news.yahoo.com/latest-authorities-seek-cause-california-145130067.html,https://s.yimg.com/ny/api/res/1.2/fuwWlO7JEMvRGkVbPYP2nw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD04NTMuMzMzMzMzMzMzMzMzNA--/https://s.yimg.com/uu/api/res/1.2/lHB.83Wn9nczXEWkT4UGQw--~B/aD0xOTk5O3c9MzAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ap.org/517307ac78c21e1ac0cc50d47880411b
"Is 'The Big One' coming? A California fault capable of a 8.0 earthquake is moving for the first time, study says","USA TODAY, Kristin Lam, USA TODAY",USA Today,"A California fault that could produce a 8.0-magnitude earthquake began sliding following a series of July temblors, according to a new study.","A magnitude 7.1 earthquake hit Southern California on Friday night,
just a day after the region was hit with a magnitude 6.4 quake.
 USA TODAY
A California fault that could produce a 8.0-magnitude earthquake began sliding following the Ridgecrest earthquak… [+2829 chars]",2019-10-18,https://www.usatoday.com/story/news/nation/2019/10/17/california-earthquake-garlock-fault-ridgecrest-movement-8-0-magnitude-study/4014328002/?utm_source=google&utm_medium=amp&utm_campaign=speakable,"https://www.gannett-cdn.com/presto/2019/07/05/USAT/747142ea-2680-4ca8-8f10-286e2e32c924-19249.jpg?crop=1599,899,x1,y465&width=3200&height=1680&fit=bounds"
Hierarchical interlocked orthogonal faulting in the 2019 Ridgecrest earthquake sequence,"Ross, Z. E., Idini, B., Jia, Z., Stephenson, O. L., Zhong, M., Wang, X., Zhan, Z., Simons, M., Fielding, E. J., Yun, S.-H., Hauksson, E., Moore, A. W., Liu, Z., Jung, J.",Sciencemag.org,The period of seismic quiescence in Southern California was rudely interrupted by the Ridgecrest earthquake sequence in July 2019. Ross et al. mapped the slip sequences during the magnitude 6.4 and 7.1 earthquakes that shook the region. They found that ruptur…,"By Zachary E. Ross, Benjamín Idini, Zhe Jia, Oliver L. Stephenson, Minyan Zhong, Xin Wang, Zhongwen Zhan, Mark Simons, Eric J. Fielding, Sang-Ho Yun, Egill Hauksson, Angelyn W. Moore, Zhen Liu, Jungkyo Jung
Science18 Oct 2019 : 346-351",2019-10-17,https://science.sciencemag.org/content/366/6463/346.full,https://science.sciencemag.org/sites/default/files/highwire/sci/366/6463.cover-source.gif
"Scientists just discovered 'stormquakes' -- but don't worry, you're not in danger - KUGN",,Kugn.com,"Scientists just discovered 'stormquakes' -- but don't worry, you're not in danger KUGN Scientists discover big storms can create 'stormquakes' CBC.ca Hurricane tracker: Which storms are raging across the globe? Are any of them stormquakes? Express.co.uk Hurri…","Hurricanes and earthquakes are bad enough on their own. Now imagine them combined.
That’s kind of what a stormquake is, a phenomenon just discovered by a team of researchers led by Wenyuan Fan, a professor and seismologist at Florida State University. The fi… [+2442 chars]",2019-10-18,http://www.kugn.com/news/scientists-just-discovered-stormquakes-but-dont-worry-youre-not-in-danger/,
Earthquake in the cell,,Sciencedaily.com,Nuclear abnormalities such as nuclear blebs and micronuclei have devastating consequences for the genetic material and are associated with cancer or ageing. Scientists now revealed that the epigenetic enzyme MOF is crucial for the morphological integrity of t…,"The genetic material of each mammalian cell is safeguarded within the nucleus. In healthy organisms, the usually round-shaped nucleus gets its stability from the nuclear envelope and the nuclear lamina. The latter is a network of proteins sandwiched between t… [+5715 chars]",2019-10-01,https://www.sciencedaily.com/releases/2019/10/191001160152.htm,
Explosion at California storage tank farm,Rob Beschizza,Boingboing.net,"A fire raged for hours Tuesday at the NuStar storage silo farm by the Phillips 66 refinery between Oakland and Vallejo, Ca. There's an archived live feed from KRCA showing two of the silos burning; the embedded YouTube video shows the second silo exploding. (…","A fire outside Davey Jones Fireworks and the House of Fireworks in Fort Mills, South Carolina resulted in a massive and unexpected fireworks show. From WCNC: According to Capt. Jeff Nash with Flint Hill Fire Department the fire began at around 5:45 a.m. and s… [+1238 chars]",2019-10-16,https://boingboing.net/2019/10/16/explosion-at-california-storag.html,https://i1.wp.com/media.boingboing.net/wp-content/uploads/2019/10/fire.jpg?fit=1200%2C675&ssl=1
Magnitude 3.6 Earthquake Awakens Bay Area Californians,Madeleine Carlisle,Yahoo.com,There have been no reported injuries,"A magnitude 3.6 earthquake hit just south off coast of San Francisco Saturday morning, per the United States Geological Survey.
The earthquake hit at 8:41 a.m. PCT. There have been no reported injuries. According responses collected by the USGS, some Califor… [+758 chars]",2019-10-05,https://news.yahoo.com/magnitude-3-6-earthquake-awakens-171642605.html,https://s.yimg.com/ny/api/res/1.2/0m1qu6fgYg4JpsbsJ65a1Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD04MDU-/https://s.yimg.com/uu/api/res/1.2/C_dohbHVv6i2fhK8wXLgSw--~B/aD02NDQ7dz0xMDI0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/time_72/0f0b5b53ca4e895f9af3ea64fb0b70bd
